Date,Open,High,Low,Close,Volume,Turnover
2026-03-12 09:15:00,23674.85,23690.85,23580.9,23585.9,0,0.0
2026-03-12 09:16:00,23586.35,23608.4,23568.7,23575.45,0,0.0
2026-03-12 09:17:00,23575.25,23587.2,23556.3,23562.95,0,0.0
2026-03-12 09:18:00,23560.95,23572.0,23559.35,23568.4,0,0.0
2026-03-12 09:19:00,23572.2,23572.85,23561.05,23563.15,0,0.0
2026-03-12 09:20:00,23564.5,23594.35,23558.85,23594.35,0,0.0
2026-03-12 09:21:00,23597.95,23600.95,23569.05,23570.65,0,0.0
2026-03-12 09:22:00,23570.05,23580.0,23568.65,23573.2,0,0.0
2026-03-12 09:23:00,23575.5,23588.3,23557.85,23588.3,0,0.0
2026-03-12 09:24:00,23590.5,23601.4,23585.3,23601.4,0,0.0
2026-03-12 09:25:00,23601.65,23607.95,23586.85,23598.15,0,0.0
2026-03-12 09:26:00,23599.95,23604.55,23588.95,23602.65,0,0.0
2026-03-12 09:27:00,23604.25,23611.25,23593.2,23597.25,0,0.0
2026-03-12 09:28:00,23598.2,23602.35,23590.0,23593.8,0,0.0
2026-03-12 09:29:00,23594.6,23612.75,23593.2,23603.35,0,0.0
2026-03-12 09:30:00,23600.45,23603.55,23594.25,23598.05,0,0.0
2026-03-12 09:31:00,23598.5,23619.6,23596.85,23610.6,0,0.0
2026-03-12 09:32:00,23610.55,23615.15,23601.85,23605.4,0,0.0
2026-03-12 09:33:00,23606.8,23614.15,23599.45,23604.05,0,0.0
2026-03-12 09:34:00,23604.15,23605.8,23589.55,23592.65,0,0.0
2026-03-12 09:35:00,23593.95,23599.0,23583.4,23588.45,0,0.0
2026-03-12 09:36:00,23591.05,23597.85,23583.25,23588.3,0,0.0
2026-03-12 09:37:00,23588.85,23602.95,23584.25,23600.3,0,0.0
2026-03-12 09:38:00,23600.15,23610.1,23590.9,23590.9,0,0.0
2026-03-12 09:39:00,23592.3,23592.6,23571.85,23572.85,0,0.0
2026-03-12 09:40:00,23574.5,23581.25,23569.4,23575.7,0,0.0
