Date,Open,High,Low,Close,Volume,Turnover
2025-09-01 09:15:00,24432.7,24529.15,24432.7,24523.5,0,0.0
2025-09-01 09:20:00,24522.55,24532.65,24502.6,24529.15,0,0.0
2025-09-01 09:25:00,24529.0,24533.55,24512.5,24530.25,0,0.0
2025-09-01 09:30:00,24529.25,24542.55,24520.25,24540.9,0,0.0
2025-09-01 09:35:00,24540.75,24546.65,24532.15,24536.85,0,0.0
2025-09-01 09:40:00,24536.4,24538.35,24523.9,24535.8,0,0.0
2025-09-01 09:45:00,24535.15,24548.5,24533.8,24534.65,0,0.0
2025-09-01 09:50:00,24534.6,24560.85,24533.95,24559.55,0,0.0
2025-09-01 09:55:00,24559.1,24560.75,24540.1,24547.5,0,0.0
2025-09-01 10:00:00,24547.55,24549.5,24535.05,24538.5,0,0.0
2025-09-01 10:05:00,24538.1,24538.7,24526.35,24532.9,0,0.0
2025-09-01 10:10:00,24534.0,24535.1,24522.65,24523.15,0,0.0
2025-09-01 10:15:00,24522.75,24534.35,24514.15,24515.1,0,0.0
2025-09-01 10:20:00,24515.75,24518.45,24502.85,24512.15,0,0.0
2025-09-01 10:25:00,24513.65,24533.45,24511.9,24528.6,0,0.0
2025-09-01 10:30:00,24528.9,24529.0,24509.05,24511.9,0,0.0
2025-09-01 10:35:00,24511.35,24517.65,24508.05,24514.7,0,0.0
2025-09-01 10:40:00,24514.65,24530.5,24513.15,24529.65,0,0.0
2025-09-01 10:45:00,24530.1,24543.25,24527.3,24538.75,0,0.0
2025-09-01 10:50:00,24539.5,24542.2,24525.65,24528.7,0,0.0
2025-09-01 10:55:00,24528.55,24547.0,24523.55,24545.0,0,0.0
2025-09-01 11:00:00,24545.55,24553.3,24541.65,24550.9,0,0.0
2025-09-01 11:05:00,24551.35,24552.3,24537.45,24542.45,0,0.0
2025-09-01 11:10:00,24543.05,24549.6,24542.5,24548.7,0,0.0
2025-09-01 11:15:00,24549.8,24550.5,24539.1,24546.2,0,0.0
2025-09-01 11:20:00,24547.85,24548.4,24539.75,24542.05,0,0.0
2025-09-01 11:25:00,24542.0,24553.45,24542.0,24550.35,0,0.0
2025-09-01 11:30:00,24551.1,24556.0,24537.45,24543.15,0,0.0
2025-09-01 11:35:00,24543.3,24547.7,24540.65,24543.5,0,0.0
2025-09-01 11:40:00,24544.55,24545.95,24537.6,24538.55,0,0.0
2025-09-01 11:45:00,24539.8,24541.95,24522.4,24522.65,0,0.0
2025-09-01 11:50:00,24522.75,24529.35,24519.25,24523.0,0,0.0
2025-09-01 11:55:00,24523.25,24527.5,24517.95,24521.65,0,0.0
2025-09-01 12:00:00,24521.15,24541.75,24521.15,24536.5,0,0.0
2025-09-01 12:05:00,24536.25,24545.25,24536.25,24543.0,0,0.0
2025-09-01 12:10:00,24543.05,24550.05,24540.85,24546.85,0,0.0
2025-09-01 12:15:00,24548.4,24553.45,24543.6,24547.05,0,0.0
